author_1,author_2,weight
https://openalex.org/A5047404909,https://openalex.org/A5084930117,3
https://openalex.org/A5078987306,https://openalex.org/A5084930117,3
https://openalex.org/A5002034958,https://openalex.org/A5084930117,3
https://openalex.org/A5040821463,https://openalex.org/A5084930117,3
https://openalex.org/A5012787401,https://openalex.org/A5055805371,9
https://openalex.org/A5012787401,https://openalex.org/A5047404909,3
https://openalex.org/A5012787401,https://openalex.org/A5078987306,5
https://openalex.org/A5002034958,https://openalex.org/A5012787401,11
https://openalex.org/A5012787401,https://openalex.org/A5040821463,11
https://openalex.org/A5047404909,https://openalex.org/A5055805371,3
https://openalex.org/A5055805371,https://openalex.org/A5078987306,9
https://openalex.org/A5002034958,https://openalex.org/A5055805371,13
https://openalex.org/A5040821463,https://openalex.org/A5055805371,13
https://openalex.org/A5047404909,https://openalex.org/A5078987306,3
https://openalex.org/A5002034958,https://openalex.org/A5047404909,5
https://openalex.org/A5040821463,https://openalex.org/A5047404909,5
https://openalex.org/A5002034958,https://openalex.org/A5078987306,17
https://openalex.org/A5040821463,https://openalex.org/A5078987306,17
https://openalex.org/A5002034958,https://openalex.org/A5040821463,40
https://openalex.org/A5017106847,https://openalex.org/A5047404909,2
https://openalex.org/A5009887999,https://openalex.org/A5047404909,2
https://openalex.org/A5017106847,https://openalex.org/A5040821463,2
https://openalex.org/A5009887999,https://openalex.org/A5040821463,2
https://openalex.org/A5002034958,https://openalex.org/A5017106847,2
https://openalex.org/A5009887999,https://openalex.org/A5017106847,2
https://openalex.org/A5002034958,https://openalex.org/A5009887999,2
https://openalex.org/A5014455711,https://openalex.org/A5047404909,1
https://openalex.org/A5014455711,https://openalex.org/A5037145133,1
https://openalex.org/A5037145133,https://openalex.org/A5047404909,1
https://openalex.org/A5039227814,https://openalex.org/A5109996323,1
https://openalex.org/A5030330229,https://openalex.org/A5039227814,1
https://openalex.org/A5039227814,https://openalex.org/A5085974313,1
https://openalex.org/A5030330229,https://openalex.org/A5109996323,1
https://openalex.org/A5085974313,https://openalex.org/A5109996323,1
https://openalex.org/A5030330229,https://openalex.org/A5085974313,1
https://openalex.org/A5027732920,https://openalex.org/A5033228279,1
https://openalex.org/A5033228279,https://openalex.org/A5113666096,1
https://openalex.org/A5033228279,https://openalex.org/A5066553010,1
https://openalex.org/A5033228279,https://openalex.org/A5082887117,1
https://openalex.org/A5006111595,https://openalex.org/A5033228279,1
https://openalex.org/A5033228279,https://openalex.org/A5077519787,1
https://openalex.org/A5030330229,https://openalex.org/A5033228279,1
https://openalex.org/A5027732920,https://openalex.org/A5113666096,1
https://openalex.org/A5027732920,https://openalex.org/A5066553010,1
https://openalex.org/A5027732920,https://openalex.org/A5082887117,1
https://openalex.org/A5006111595,https://openalex.org/A5027732920,1
https://openalex.org/A5027732920,https://openalex.org/A5077519787,1
https://openalex.org/A5027732920,https://openalex.org/A5030330229,1
https://openalex.org/A5066553010,https://openalex.org/A5113666096,1
https://openalex.org/A5082887117,https://openalex.org/A5113666096,1
https://openalex.org/A5006111595,https://openalex.org/A5113666096,1
https://openalex.org/A5077519787,https://openalex.org/A5113666096,1
https://openalex.org/A5030330229,https://openalex.org/A5113666096,1
https://openalex.org/A5066553010,https://openalex.org/A5082887117,1
https://openalex.org/A5006111595,https://openalex.org/A5066553010,1
https://openalex.org/A5066553010,https://openalex.org/A5077519787,1
https://openalex.org/A5030330229,https://openalex.org/A5066553010,1
https://openalex.org/A5006111595,https://openalex.org/A5082887117,1
https://openalex.org/A5077519787,https://openalex.org/A5082887117,1
https://openalex.org/A5030330229,https://openalex.org/A5082887117,1
https://openalex.org/A5006111595,https://openalex.org/A5077519787,1
https://openalex.org/A5006111595,https://openalex.org/A5030330229,1
https://openalex.org/A5030330229,https://openalex.org/A5077519787,1
https://openalex.org/A5030330229,https://openalex.org/A5054670072,1
https://openalex.org/A5030330229,https://openalex.org/A5086663147,1
https://openalex.org/A5054670072,https://openalex.org/A5086663147,1
https://openalex.org/A5030330229,https://openalex.org/A5090704136,1
https://openalex.org/A5090704136,https://openalex.org/A5113699933,1
https://openalex.org/A5090704136,https://openalex.org/A5111920393,1
https://openalex.org/A5030330229,https://openalex.org/A5113699933,1
https://openalex.org/A5030330229,https://openalex.org/A5111920393,1
https://openalex.org/A5111920393,https://openalex.org/A5113699933,1
https://openalex.org/A5004372354,https://openalex.org/A5030330229,1
https://openalex.org/A5015177696,https://openalex.org/A5030330229,1
https://openalex.org/A5030330229,https://openalex.org/A5053902878,1
https://openalex.org/A5004372354,https://openalex.org/A5015177696,1
https://openalex.org/A5004372354,https://openalex.org/A5053902878,1
https://openalex.org/A5015177696,https://openalex.org/A5053902878,1
https://openalex.org/A5006456463,https://openalex.org/A5051530545,1
https://openalex.org/A5030330229,https://openalex.org/A5051530545,1
https://openalex.org/A5051530545,https://openalex.org/A5109865147,1
https://openalex.org/A5006456463,https://openalex.org/A5030330229,1
https://openalex.org/A5006456463,https://openalex.org/A5109865147,1
https://openalex.org/A5030330229,https://openalex.org/A5109865147,1
https://openalex.org/A5053039076,https://openalex.org/A5071183914,1
https://openalex.org/A5053039076,https://openalex.org/A5108501586,1
https://openalex.org/A5016026205,https://openalex.org/A5053039076,1
https://openalex.org/A5014406538,https://openalex.org/A5053039076,1
https://openalex.org/A5030330229,https://openalex.org/A5053039076,1
https://openalex.org/A5071183914,https://openalex.org/A5108501586,1
https://openalex.org/A5016026205,https://openalex.org/A5071183914,1
https://openalex.org/A5014406538,https://openalex.org/A5071183914,1
https://openalex.org/A5030330229,https://openalex.org/A5071183914,1
https://openalex.org/A5016026205,https://openalex.org/A5108501586,1
https://openalex.org/A5014406538,https://openalex.org/A5108501586,1
https://openalex.org/A5030330229,https://openalex.org/A5108501586,1
https://openalex.org/A5014406538,https://openalex.org/A5016026205,1
https://openalex.org/A5016026205,https://openalex.org/A5030330229,1
https://openalex.org/A5014406538,https://openalex.org/A5030330229,1
https://openalex.org/A5030330229,https://openalex.org/A5066524521,1
https://openalex.org/A5030330229,https://openalex.org/A5110926636,2
https://openalex.org/A5110926636,https://openalex.org/A5112936208,2
https://openalex.org/A5110926636,https://openalex.org/A5113578168,2
https://openalex.org/A5030330229,https://openalex.org/A5112936208,2
https://openalex.org/A5030330229,https://openalex.org/A5113578168,2
https://openalex.org/A5112936208,https://openalex.org/A5113578168,2
https://openalex.org/A5109906660,https://openalex.org/A5110926636,1
https://openalex.org/A5109906660,https://openalex.org/A5112936208,1
https://openalex.org/A5030330229,https://openalex.org/A5109906660,1
https://openalex.org/A5109906660,https://openalex.org/A5113578168,1
https://openalex.org/A5001753624,https://openalex.org/A5048456963,1
https://openalex.org/A5048456963,https://openalex.org/A5060611338,1
https://openalex.org/A5048456963,https://openalex.org/A5057025370,1
https://openalex.org/A5001753624,https://openalex.org/A5060611338,1
https://openalex.org/A5001753624,https://openalex.org/A5057025370,1
https://openalex.org/A5057025370,https://openalex.org/A5060611338,1
https://openalex.org/A5086636153,https://openalex.org/A5087251228,1
https://openalex.org/A5064296964,https://openalex.org/A5071122166,2
https://openalex.org/A5064296964,https://openalex.org/A5101702632,2
https://openalex.org/A5057243118,https://openalex.org/A5064296964,5
https://openalex.org/A5064296964,https://openalex.org/A5087990460,2
https://openalex.org/A5007176508,https://openalex.org/A5064296964,13
https://openalex.org/A5071122166,https://openalex.org/A5101702632,2
https://openalex.org/A5057243118,https://openalex.org/A5071122166,2
https://openalex.org/A5071122166,https://openalex.org/A5087990460,2
https://openalex.org/A5007176508,https://openalex.org/A5071122166,4
https://openalex.org/A5057243118,https://openalex.org/A5101702632,2
https://openalex.org/A5087990460,https://openalex.org/A5101702632,2
https://openalex.org/A5007176508,https://openalex.org/A5101702632,2
https://openalex.org/A5057243118,https://openalex.org/A5087990460,2
https://openalex.org/A5007176508,https://openalex.org/A5057243118,12
https://openalex.org/A5007176508,https://openalex.org/A5087990460,2
https://openalex.org/A5064296964,https://openalex.org/A5077079119,6
https://openalex.org/A5064296964,https://openalex.org/A5069454833,6
https://openalex.org/A5064296964,https://openalex.org/A5069999998,6
https://openalex.org/A5064296964,https://openalex.org/A5103706325,3
https://openalex.org/A5000679279,https://openalex.org/A5064296964,8
https://openalex.org/A5069454833,https://openalex.org/A5077079119,6
https://openalex.org/A5069999998,https://openalex.org/A5077079119,6
https://openalex.org/A5077079119,https://openalex.org/A5103706325,3
https://openalex.org/A5000679279,https://openalex.org/A5077079119,6
https://openalex.org/A5069454833,https://openalex.org/A5069999998,6
https://openalex.org/A5069454833,https://openalex.org/A5103706325,3
https://openalex.org/A5000679279,https://openalex.org/A5069454833,6
