id,publication_year,cited_by_count,author_ids
https://openalex.org/W2047850274,1983,202,"['https://openalex.org/A5039227814', 'https://openalex.org/A5109996323', 'https://openalex.org/A5030330229', 'https://openalex.org/A5085974313']"
https://openalex.org/W2127724524,2008,181,"['https://openalex.org/A5033228279', 'https://openalex.org/A5027732920', 'https://openalex.org/A5113666096', 'https://openalex.org/A5066553010', 'https://openalex.org/A5082887117', 'https://openalex.org/A5006111595', 'https://openalex.org/A5077519787', 'https://openalex.org/A5030330229']"
https://openalex.org/W2114912188,1978,160,"['https://openalex.org/A5030330229', 'https://openalex.org/A5054670072', 'https://openalex.org/A5086663147']"
https://openalex.org/W2137586668,2009,116,"['https://openalex.org/A5090704136', 'https://openalex.org/A5030330229', 'https://openalex.org/A5113699933', 'https://openalex.org/A5111920393']"
https://openalex.org/W3189799619,2007,79,['https://openalex.org/A5030330229']
https://openalex.org/W631091528,1983,72,['https://openalex.org/A5030330229']
https://openalex.org/W1966684598,1990,71,"['https://openalex.org/A5030330229', 'https://openalex.org/A5004372354', 'https://openalex.org/A5015177696', 'https://openalex.org/A5053902878']"
https://openalex.org/W2016796430,2009,67,"['https://openalex.org/A5051530545', 'https://openalex.org/A5006456463', 'https://openalex.org/A5030330229', 'https://openalex.org/A5109865147']"
https://openalex.org/W2111700728,2010,63,['https://openalex.org/A5030330229']
https://openalex.org/W2060941195,2000,53,"['https://openalex.org/A5053039076', 'https://openalex.org/A5071183914', 'https://openalex.org/A5108501586', 'https://openalex.org/A5016026205', 'https://openalex.org/A5014406538', 'https://openalex.org/A5030330229']"
https://openalex.org/W1988374732,2001,49,['https://openalex.org/A5030330229']
https://openalex.org/W2040317825,2006,26,['https://openalex.org/A5030330229']
https://openalex.org/W2095942641,2008,25,['https://openalex.org/A5030330229']
https://openalex.org/W2317291799,1973,13,"['https://openalex.org/A5066524521', 'https://openalex.org/A5030330229']"
https://openalex.org/W1980446118,1982,14,['https://openalex.org/A5030330229']
https://openalex.org/W1965702119,1992,12,"['https://openalex.org/A5110926636', 'https://openalex.org/A5030330229', 'https://openalex.org/A5112936208', 'https://openalex.org/A5113578168']"
https://openalex.org/W1997786910,1995,12,"['https://openalex.org/A5110926636', 'https://openalex.org/A5109906660', 'https://openalex.org/A5112936208', 'https://openalex.org/A5030330229', 'https://openalex.org/A5113578168']"
https://openalex.org/W2105956334,2004,11,"['https://openalex.org/A5048456963', 'https://openalex.org/A5001753624', 'https://openalex.org/A5060611338', 'https://openalex.org/A5057025370']"
https://openalex.org/W2997002213,2020,16,"['https://openalex.org/A5086636153', 'https://openalex.org/A5087251228']"
https://openalex.org/W3023751895,2020,143,"['https://openalex.org/A5064296964', 'https://openalex.org/A5071122166', 'https://openalex.org/A5101702632', 'https://openalex.org/A5057243118', 'https://openalex.org/A5087990460', 'https://openalex.org/A5007176508']"
https://openalex.org/W4312065168,2022,61,"['https://openalex.org/A5064296964', 'https://openalex.org/A5077079119', 'https://openalex.org/A5069454833', 'https://openalex.org/A5069999998', 'https://openalex.org/A5103706325', 'https://openalex.org/A5000679279']"
https://openalex.org/W3197182080,2021,59,"['https://openalex.org/A5064296964', 'https://openalex.org/A5027814433', 'https://openalex.org/A5071294124', 'https://openalex.org/A5000679279']"
https://openalex.org/W2305957822,2016,62,"['https://openalex.org/A5064296964', 'https://openalex.org/A5043639182', 'https://openalex.org/A5111367077', 'https://openalex.org/A5075956753']"
https://openalex.org/W2080083917,2014,32,"['https://openalex.org/A5064296964', 'https://openalex.org/A5102756489', 'https://openalex.org/A5013559230', 'https://openalex.org/A5075956753', 'https://openalex.org/A5115598991', 'https://openalex.org/A5011229206', 'https://openalex.org/A5109833231', 'https://openalex.org/A5073189960', 'https://openalex.org/A5007176508']"
https://openalex.org/W3104414387,2016,29,"['https://openalex.org/A5064296964', 'https://openalex.org/A5091452530', 'https://openalex.org/A5007176508']"
https://openalex.org/W2900975341,2019,23,"['https://openalex.org/A5064296964', 'https://openalex.org/A5057243118', 'https://openalex.org/A5073565809', 'https://openalex.org/A5056499434', 'https://openalex.org/A5007176508']"
https://openalex.org/W4309697951,2022,11,"['https://openalex.org/A5064296964', 'https://openalex.org/A5077079119', 'https://openalex.org/A5069454833', 'https://openalex.org/A5069999998', 'https://openalex.org/A5076633756', 'https://openalex.org/A5000679279']"
https://openalex.org/W1844628735,2014,21,"['https://openalex.org/A5013559230', 'https://openalex.org/A5064296964', 'https://openalex.org/A5102756489', 'https://openalex.org/A5011229206', 'https://openalex.org/A5075956753', 'https://openalex.org/A5115598991', 'https://openalex.org/A5109833231', 'https://openalex.org/A5073189960', 'https://openalex.org/A5007176508']"
https://openalex.org/W2188021097,2014,16,"['https://openalex.org/A5046561315', 'https://openalex.org/A5064296964', 'https://openalex.org/A5033977409', 'https://openalex.org/A5038699799', 'https://openalex.org/A5073189960', 'https://openalex.org/A5103326255']"
https://openalex.org/W3103626019,2017,130,"['https://openalex.org/A5063098095', 'https://openalex.org/A5070463669', 'https://openalex.org/A5015642711', 'https://openalex.org/A5016146759', 'https://openalex.org/A5068182184']"
https://openalex.org/W3125634108,2018,36,"['https://openalex.org/A5070463669', 'https://openalex.org/A5063098095', 'https://openalex.org/A5034406723', 'https://openalex.org/A5068182184']"
https://openalex.org/W3100839768,2019,21,"['https://openalex.org/A5063098095', 'https://openalex.org/A5070463669', 'https://openalex.org/A5068182184']"
https://openalex.org/W2069352675,1929,61,"['https://openalex.org/A5039188573', 'https://openalex.org/A5011035455']"
https://openalex.org/W3155596533,2021,61,"['https://openalex.org/A5068497573', 'https://openalex.org/A5002607503', 'https://openalex.org/A5008888392', 'https://openalex.org/A5054960661', 'https://openalex.org/A5011035455', 'https://openalex.org/A5105508446', 'https://openalex.org/A5081476701', 'https://openalex.org/A5033081182', 'https://openalex.org/A5052965447']"
https://openalex.org/W3105381247,2019,31,"['https://openalex.org/A5053273786', 'https://openalex.org/A5011035455', 'https://openalex.org/A5065531884', 'https://openalex.org/A5013827698']"
https://openalex.org/W2053829680,2014,22,"['https://openalex.org/A5011035455', 'https://openalex.org/A5047381329']"
